borough,regents_exam,mean_score,total_tested,id
Bronx,Chemistry,55.77959969174757,19119,0
Bronx,Chinese,90.97790280000001,514,1
Bronx,Common Core Algebra,66.6549466175373,109851,2
Bronx,Common Core Algebra 2,58.323398243951615,27588,3
Bronx,Common Core English,66.32242739625167,87667,4
Bronx,Common Core Geometry,55.354370598553345,39984,5
Bronx,Earth Science,57.92510918446602,34723,6
Bronx,French,72.88581283333333,864,7
Bronx,Global History and Geography,64.40362487443268,79220,8
Bronx,Italian,78.4464343125,376,9
Bronx,Living Environment,65.77628444620252,87918,10
Bronx,Physics,54.68619330263158,7877,11
Bronx,Spanish,82.77159263961813,18649,12
Bronx,US History and Government,67.39186037190083,58171,13
Brooklyn,Chemistry,56.59449074647887,42977,14
Brooklyn,Chinese,83.73384598076925,4280,15
Brooklyn,Common Core Algebra,68.02562982785714,161813,16
Brooklyn,Common Core Algebra 2,58.30880815264187,52362,17
Brooklyn,Common Core English,67.35717544839858,130718,18
Brooklyn,Common Core Geometry,55.342895975000005,77553,19
Brooklyn,Earth Science,61.14878679599271,48133,20
Brooklyn,French,76.99577748611111,3137,21
Brooklyn,Global History and Geography,65.05832538684211,123427,22
Brooklyn,Italian,77.7431184375,1508,23
Brooklyn,Living Environment,67.50430621996753,137816,24
Brooklyn,Physics,59.93777253333333,19974,25
Brooklyn,Spanish,78.29955025905292,27249,26
Brooklyn,US History and Government,66.89540411416185,90954,27
Manhattan,Chemistry,61.987718092269326,32804,28
Manhattan,Chinese,85.4951944,2525,29
Manhattan,Common Core Algebra,69.24747301876955,94094,30
Manhattan,Common Core Algebra 2,62.49753933613445,38303,31
Manhattan,Common Core English,73.1669241318373,85331,32
Manhattan,Common Core Geometry,59.82910237381404,53822,33
Manhattan,Earth Science,62.944146842332614,37830,34
Manhattan,French,80.07696042424243,2002,35
Manhattan,Global History and Geography,68.92127336624203,80011,36
Manhattan,Italian,77.23094313333334,423,37
Manhattan,Living Environment,69.16149020685279,75202,38
Manhattan,Physics,62.0325801147541,14341,39
Manhattan,Spanish,84.91872251951952,20438,40
Manhattan,US History and Government,71.5393172928709,55262,41
Queens,Chemistry,61.387397913165266,50207,42
Queens,Chinese,82.78543759090908,4410,43
Queens,Common Core Algebra,71.68270489424206,153518,44
Queens,Common Core Algebra 2,63.18816894117647,61449,45
Queens,Common Core English,72.79440723880597,112866,46
Queens,Common Core Geometry,60.93349831105398,76264,47
Queens,Earth Science,66.3124587082353,59958,48
Queens,French,76.39251855,2757,49
Queens,Global History and Geography,70.87122043942993,105988,50
Queens,Italian,77.13251033333333,1012,51
Queens,Living Environment,72.77893231929347,122718,52
Queens,Physics,62.95859673333333,21664,53
Queens,Spanish,80.43690566233765,32349,54
Queens,US History and Government,73.53901702444988,83514,55
Staten Island,Chemistry,66.077613625,11363,56
Staten Island,Chinese,65.056882,119,57
Staten Island,Common Core Algebra,73.28347392465754,29377,58
Staten Island,Common Core Algebra 2,66.75507645614034,12262,59
Staten Island,Common Core English,75.91100852702702,22183,60
Staten Island,Common Core Geometry,62.18935957627119,19244,61
Staten Island,Earth Science,61.62196021428572,11084,62
Staten Island,French,79.5653114,265,63
Staten Island,Global History and Geography,69.79698589041097,25155,64
Staten Island,Italian,74.36677735714285,1995,65
Staten Island,Living Environment,74.43096374576271,24942,66
Staten Island,Physics,64.9054731111111,6970,67
Staten Island,Spanish,79.22656181818182,6782,68
Staten Island,US History and Government,75.35226768131868,18707,69
