borough,regents_exam,total_tested,mean_score,percent_65_or_above
Manhattan,Algebra 2 (Trigonometry),15044,56.840416271493204,36.95958403257918
Manhattan,Chemistry,46281,62.69009600000001,45.48086616539792
Manhattan,Chinese,3559,86.19052432307693,91.33221399999998
Manhattan,Common Core Algebra,136127,68.37170393448277,63.762562233724125
Manhattan,Common Core Algebra 2,44429,62.54846122491349,50.112680747231835
Manhattan,Common Core English,118347,73.3177620451197,77.46912011418047
Manhattan,Common Core Geometry,72984,59.74768681437908,40.912986300209155
Manhattan,Earth Science,54025,63.092150236543915,49.180819875779044
Manhattan,English,17514,68.50548451627907,68.85221414418604
Manhattan,French,2811,81.68797612359549,87.2026165505618
Manhattan,Geometry,12198,63.48527603921568,49.36440521111111
Manhattan,Global History and Geography,119592,67.46325055197505,60.650711975051976
Manhattan,Integrated Algebra,12264,66.07539127894736,59.409199199999996
Manhattan,Italian,760,79.96045956,87.03906755999998
Manhattan,Living Environment,112390,68.70381293765585,63.757183360598496
Manhattan,Physics,20060,62.85323101123596,50.61189288876405
Manhattan,Spanish,28185,85.98937775368422,93.59181882526316
Manhattan,US History and Government,88000,71.18994505503512,68.35711004742389
Bronx,Algebra 2 (Trigonometry),10214,52.14149097767857,25.466013309821427
Bronx,Chemistry,27156,57.130864969491526,30.104808569491524
Bronx,Chinese,764,87.95324049999999,90.3773075
Bronx,Common Core Algebra,157441,65.16473904595588,56.37267444087009
Bronx,Common Core Algebra 2,31704,58.33124383250415,39.9056767557214
Bronx,Common Core English,123718,66.76666928170214,66.01090245702127
Bronx,Common Core Geometry,54218,55.09638628413285,28.835894735547352
Bronx,Earth Science,49839,58.017670049813205,37.60499561581569
Bronx,English,18288,62.761723396226415,53.24539276603774
Bronx,French,1262,74.0452854509804,74.2729916372549
Bronx,Geometry,9203,58.859370292397664,37.35595738479532
Bronx,Global History and Geography,123066,62.97097872623574,50.21660031758555
Bronx,Integrated Algebra,16198,63.9387670075188,53.9967287631579
Bronx,Italian,579,81.46423796,87.12621056
Bronx,Living Environment,132298,65.08137009523809,55.76402046319727
Bronx,Physics,11333,56.312580732142855,37.46699923303572
Bronx,Spanish,25723,83.96216817898193,90.31015355829228
Bronx,US History and Government,91474,66.97967397711442,60.040497505472636
Brooklyn,Algebra 2 (Trigonometry),20196,51.76156019838057,26.648550514574904
Brooklyn,Chemistry,60225,57.948684797427646,33.860641013987134
Brooklyn,Chinese,5921,85.41769238235295,89.9417608382353
Brooklyn,Common Core Algebra,231762,66.79203145750708,60.27927521355051
Brooklyn,Common Core Algebra 2,60388,58.49913950398724,40.76594359027113
Brooklyn,Common Core English,188857,67.91534568178439,67.82380773940521
Brooklyn,Common Core Geometry,104756,55.59076489485458,30.337173402013423
Brooklyn,Earth Science,70775,60.888256130635845,44.56080794543352
Brooklyn,English,23905,63.54008200000001,55.52121663846153
Brooklyn,French,4251,78.57206399,84.08853941
Brooklyn,Geometry,16635,59.07234296685084,39.29728644475138
Brooklyn,Global History and Geography,186411,63.88031987417762,52.51759646759868
Brooklyn,Integrated Algebra,20686,64.80444801805054,56.51182952707581
Brooklyn,Italian,2120,79.67120830434784,87.76200206521739
Brooklyn,Living Environment,202704,67.20455780836421,60.58459069925886
Brooklyn,Physics,28465,60.60873469230769,46.64912296
Brooklyn,Spanish,38603,79.94393594594595,85.31921249749034
Brooklyn,US History and Government,141906,66.95701525322997,60.131463530146426
Queens,Algebra 2 (Trigonometry),21299,59.14185366666667,41.2116488259887
Queens,Chemistry,68654,62.61886507899808,46.40320118959538
Queens,Chinese,5577,84.69627630000001,87.8886297
Queens,Common Core Algebra,217588,70.77033273251345,70.49192056210607
Queens,Common Core Algebra 2,71272,62.67529306652806,51.55643944511434
Queens,Common Core English,154221,73.1276576828929,76.77819410431155
Queens,Common Core Geometry,102524,60.57948414551607,42.97676524450085
Queens,Earth Science,87987,66.53566883557549,57.10598996905829
Queens,English,22621,66.64301645138887,62.818310822916665
Queens,French,3938,78.22409127350427,84.38735276068377
Queens,Geometry,17374,62.96261705,47.27969328166667
Queens,Global History and Geography,158158,69.09032788803681,64.65704088190184
Queens,Integrated Algebra,18953,66.73387458865248,62.49651082269503
Queens,Italian,1409,78.508335,85.14785945652174
Queens,Living Environment,178578,72.19560645503597,71.19825032077338
Queens,Physics,29490,64.25448713099041,54.660531775399356
Queens,Spanish,44544,81.85175511643834,87.7594549497717
Queens,US History and Government,129699,72.75627390410958,71.23702453287672
Staten Island,Algebra 2 (Trigonometry),5673,56.31328903448276,32.88572666206897
Staten Island,Chemistry,16061,66.0795949,55.138666650000005
Staten Island,Chinese,164,66.63436228571427,59.9310962857143
Staten Island,Common Core Algebra,42551,72.20054639130436,73.32217318043479
Staten Island,Common Core Algebra 2,14507,65.87291418666668,60.429127399999985
Staten Island,Common Core English,31801,75.40530899115045,79.79258730088493
Staten Island,Common Core Geometry,26094,61.58486239325842,45.2175141516854
Staten Island,Earth Science,16942,61.535647772727266,46.70964068636364
Staten Island,English,5371,68.52818866666667,65.61390609523811
Staten Island,French,402,81.3375652142857,88.58677071428572
Staten Island,Geometry,4235,63.01557105555555,45.71414355555555
Staten Island,Global History and Geography,36980,68.04145679279279,61.66144731981982
Staten Island,Integrated Algebra,4005,66.701128125,62.19205208333333
Staten Island,Italian,2859,76.45843465789473,83.0752917368421
Staten Island,Living Environment,37078,73.49701328877005,73.19031300534759
Staten Island,Physics,9474,65.6444786984127,56.899475722222206
Staten Island,Spanish,9584,80.33101036923075,87.76574866153847
Staten Island,US History and Government,28579,74.77915699310344,75.52879666896553
