year,regents_exam,total_tested,mean_score,percent_65_or_above
2015,Algebra 2 (Trigonometry),35241,55.70586160053618,35.40309965174263
2015,Chemistry,30681,63.01860986186186,45.894324301801795
2015,Chinese,2063,89.69047106451613,94.2597470967742
2015,Common Core Algebra,79390,63.773618095617536,54.50318170770253
2015,Common Core English,37414,71.15146947169812,71.61316907412399
2015,Common Core Geometry,39854,58.98808666847827,36.12508721494566
2015,Earth Science,39536,64.62911040322581,53.9509040921659
2015,English,75627,69.33691643155893,71.53769933460076
2015,French,1940,84.31953600000001,93.55236743103448
2015,Geometry,52874,63.13634304367816,50.55701301632185
2015,Global History and Geography,97784,65.04211123699423,56.553292049132956
2015,Integrated Algebra,60169,65.75698425918762,58.05374998065764
2015,Italian,1257,86.39878582142858,95.71895735714286
2015,Living Environment,93790,70.26623021292218,68.86808190455213
2015,Physics,13609,65.5733163836478,57.847200112578626
2015,Spanish,19539,89.17921151228069,96.83491759649122
2015,US History and Government,80080,72.93425401851853,73.45138862962962
2016,Algebra 2 (Trigonometry),33912,54.75101582539683,32.24519517830688
2016,Chemistry,29734,63.05771279279279,45.27347185195195
2016,Chinese,2074,87.57815714705882,91.30921944117647
2016,Common Core Algebra,113557,69.71231065228113,68.2445129323058
2016,Common Core Algebra 2,26625,61.30977403010033,46.143630943143805
2016,Common Core English,83559,71.66680812056738,76.24752963120568
2016,Common Core Geometry,47787,57.548825383908046,36.21561649875862
2016,Earth Science,42775,64.2054894090909,50.81172910977273
2016,English,12072,59.36593506377551,43.024097456122455
2016,French,1624,80.19178188000001,89.25783802
2016,Geometry,6771,56.22970544230769,26.718984001442305
2016,Global History and Geography,97435,64.83834923992322,54.645105188099805
2016,Integrated Algebra,11937,64.37483201574804,56.681057779527556
2016,Italian,1111,81.39058855555557,89.72238903703703
2016,Living Environment,93787,70.62361193323864,70.72760174431818
2016,Physics,14057,63.55931931901841,51.94700542822086
2016,Spanish,19564,83.7620718988764,90.96748820973782
2016,US History and Government,79424,71.50498686298931,70.1620424708185
2017,Algebra 2 (Trigonometry),3273,52.064996367346936,22.508537398639454
2017,Chemistry,30261,62.21860053254438,43.32143980591716
2017,Chinese,2413,83.81650254545454,88.60080057575757
2017,Common Core Algebra,120245,71.11979081786544,71.80812305394431
2017,Common Core Algebra 2,32269,63.13749571891893,51.78131530054054
2017,Common Core English,92756,70.51537151215278,74.33733627083332
2017,Common Core Geometry,58263,59.98815899088838,38.649412852847384
2017,Earth Science,42536,63.10540050812065,48.8255255951276
2017,French,2042,73.50837504999998,76.66869851666667
2017,Global History and Geography,91876,64.63543339961389,53.59183299903475
2017,Italian,1170,78.31575734615384,89.18648107692307
2017,Living Environment,95546,69.4477166391892,66.7003067864865
2017,Physics,14834,64.48975214285714,54.670013211309524
2017,Spanish,19104,81.65059675203251,88.68076394715447
2017,US History and Government,80574,71.17168404092526,68.33488154092527
2018,Chemistry,31013,61.70209797640118,43.01531451681416
2018,Chinese,2337,86.74025754545455,91.99935606060605
2018,Common Core Algebra,119693,68.87738795259594,66.07482335056433
2018,Common Core Algebra 2,38474,64.51607143376623,56.302252198701304
2018,Common Core English,95243,68.1029604835924,69.4573078791019
2018,Common Core Geometry,55338,60.13620679310345,43.40359293034483
2018,Earth Science,42151,65.4124361264637,54.5919313175644
2018,French,1800,79.88131734693877,86.52129040816327
2018,Global History and Geography,94587,67.04869892248061,57.84256018604652
2018,Italian,1297,75.51018157692307,82.61449853846155
2018,Living Environment,98306,69.9100331381579,66.41835788355263
2018,Physics,14019,65.20412468750001,56.7199156875
2018,Spanish,19829,82.02652461937716,88.24594676124566
2018,US History and Government,80873,70.78532864991335,67.60037922790295
2019,Chemistry,31707,60.822478589820356,41.12137189520958
2019,Chinese,2333,84.67052283333334,90.02196574999999
2019,Common Core Algebra,121577,70.20506354078212,68.73234712234637
2019,Common Core Algebra 2,39354,64.56126964961636,57.11127272634272
2019,Common Core English,99800,71.92669207304347,76.27221128173913
2019,Common Core Geometry,53978,61.55985023113207,46.23873553938679
2019,Earth Science,39778,62.30701625423729,47.55270786198547
2019,French,2053,80.01384191666669,85.06523204166668
2019,Global History and Geography,88705,67.53440178320312,62.610836509375
2019,Italian,1016,80.87167622727272,88.43807004545455
2019,Living Environment,99291,69.59003838925294,66.08189016841416
2019,Physics,14466,65.60841768098159,53.78330493865031
2019,Spanish,25973,82.17041598016996,88.84702264022663
2019,US History and Government,82759,69.1997620066445,63.63429729485049
2020,Chemistry,1492,59.50901949295775,32.433463253521126
2020,Common Core Algebra,36611,58.88564987526427,37.23914031141649
2020,Common Core Algebra 2,3711,58.61538689403973,37.88691905496688
2020,Common Core English,53172,68.46834469607842,66.3283918
2020,Common Core Geometry,6068,54.396899049773744,19.32850905158371
2020,Earth Science,3916,52.17176029834254,21.374797335359112
2020,French,75,74.4327784,77.16666660000001
2020,Global History and Geography,15187,57.697069839024394,30.828957486341466
2020,Italian,45,71.55556,68.888885
2020,Living Environment,21606,55.65661068374165,26.17594080400891
2020,Physics,330,53.7769453,25.3169916
2020,Spanish,2069,81.68448321111111,88.49087743333334
2020,US History and Government,13546,58.89681904950495,37.89446160519802
2021,Common Core Algebra,7258,69.25137232330826,64.43707202443609
2021,Common Core English,4034,71.65006986394559,73.70691955782313
2021,Earth Science,1613,56.53614700000001,37.82621691973684
2021,Living Environment,5269,70.07998870243902,67.75302010243902
2022,Chemistry,31392,53.46235029968455,24.00143218138801
2022,Chinese,2488,79.89639345945946,80.02276267567568
2022,Common Core Algebra,81600,66.32370056833713,58.26380477824602
2022,Common Core Algebra 2,40176,54.710209209115284,32.21306319115281
2022,Common Core English,58337,67.96080011842106,67.29245827763158
2022,Common Core Geometry,46590,50.35672817574257,23.703517814851487
2022,Earth Science,31726,56.2321298,35.307987379189186
2022,French,1550,73.00707625,70.97253029545455
2022,Global History and Geography,65544,68.22165801232033,66.08712687474332
2022,Italian,927,73.09578538461538,73.83404826923078
2022,Living Environment,70794,68.098103687915,62.45772192961488
2022,Physics,14036,51.084127,29.864103014084506
2022,Spanish,19944,79.2449513862816,82.670649800361
2023,Chemistry,32097,56.64814634567901,32.02459462777777
2023,Chinese,2277,82.72876708823529,85.79831405882354
2023,Common Core Algebra,105538,67.69935373428886,62.23591636251378
