borough,school_dbn,school_name,year,regents_exam,total_tested,mean_score,percent_65_or_above,id
Bronx,07X029,P.S. | M.S. 029 Melrose School,2017,Common Core Algebra,81,61.34568,44.444443,0
Bronx,07X029,P.S. | M.S. 029 Melrose School,2017,Living Environment,30,63.166668,53.333332,1
Bronx,07X031,P.S. | M.S. 031 The William Lloyd Garrison,2017,Common Core Algebra,9,78.888885,100.0,2
Bronx,07X031,P.S. | M.S. 031 The William Lloyd Garrison,2018,Common Core Algebra,6,76.833336,100.0,3
Bronx,07X031,P.S. | M.S. 031 The William Lloyd Garrison,2018,US History and Government,10,56.9,30.0,4
Bronx,07X031,P.S. | M.S. 031 The William Lloyd Garrison,2019,Common Core Algebra,6,78.666664,100.0,5
Bronx,07X031,P.S. | M.S. 031 The William Lloyd Garrison,2019,Living Environment,8,57.375,37.5,6
Bronx,07X031,P.S. | M.S. 031 The William Lloyd Garrison,2022,Common Core Algebra,15,78.066666,100.0,7
Bronx,07X031,P.S. | M.S. 031 The William Lloyd Garrison,2022,Living Environment,28,69.21429,67.85714,8
Bronx,07X031,P.S. | M.S. 031 The William Lloyd Garrison,2023,Common Core Algebra,7,73.0,100.0,9
Bronx,07X031,P.S. | M.S. 031 The William Lloyd Garrison,2023,Living Environment,21,63.714287,57.142857,10
Bronx,07X162,J.H.S. 162 Lola Rodriguez De Tio,2017,Common Core Algebra,12,69.166664,75.0,11
Bronx,07X162,J.H.S. 162 Lola Rodriguez De Tio,2017,Living Environment,26,72.65385,80.76923,12
Bronx,07X221,South Bronx Preparatory: A College Board School,2017,Chemistry,7,72.0,85.71429,13
Bronx,07X221,South Bronx Preparatory: A College Board School,2017,Common Core Algebra,130,70.776924,82.30769,14
Bronx,07X221,South Bronx Preparatory: A College Board School,2017,Common Core Algebra 2,20,71.9,90.0,15
Bronx,07X221,South Bronx Preparatory: A College Board School,2017,Common Core English,92,74.78261,86.95652,16
Bronx,07X221,South Bronx Preparatory: A College Board School,2017,Common Core Geometry,66,63.575756,51.515152,17
Bronx,07X221,South Bronx Preparatory: A College Board School,2017,Earth Science,59,63.101696,50.847458,18
