borough,school_dbn,school_name,year,category,regents_exam,total_tested,mean_score,percent_65_or_above,id
Bronx,07X029,P.S. | M.S. 029 Melrose School,2017,Non-SWD,Common Core Algebra,69,63.333332,50.724636,0
Bronx,07X029,P.S. | M.S. 029 Melrose School,2017,SWD,Common Core Algebra,12,49.916668,8.333333,1
Bronx,07X029,P.S. | M.S. 029 Melrose School,2017,Non-SWD,Living Environment,30,63.166668,53.333332,2
Bronx,07X031,P.S. | M.S. 031 The William Lloyd Garrison,2017,Non-SWD,Common Core Algebra,9,78.888885,100.0,3
Bronx,07X031,P.S. | M.S. 031 The William Lloyd Garrison,2018,Non-SWD,Common Core Algebra,6,76.833336,100.0,4
Bronx,07X031,P.S. | M.S. 031 The William Lloyd Garrison,2018,Non-SWD,US History and Government,10,56.9,30.0,5
Bronx,07X031,P.S. | M.S. 031 The William Lloyd Garrison,2019,Non-SWD,Common Core Algebra,6,78.666664,100.0,6
Bronx,07X031,P.S. | M.S. 031 The William Lloyd Garrison,2019,Non-SWD,Living Environment,8,57.375,37.5,7
Bronx,07X031,P.S. | M.S. 031 The William Lloyd Garrison,2022,Non-SWD,Common Core Algebra,15,78.066666,100.0,8
Bronx,07X031,P.S. | M.S. 031 The William Lloyd Garrison,2022,Non-SWD,Living Environment,28,69.21429,67.85714,9
Bronx,07X031,P.S. | M.S. 031 The William Lloyd Garrison,2023,Non-SWD,Common Core Algebra,7,73.0,100.0,10
Bronx,07X162,J.H.S. 162 Lola Rodriguez De Tio,2017,Non-SWD,Common Core Algebra,12,69.166664,75.0,11
Bronx,07X221,South Bronx Preparatory: A College Board School,2017,Non-SWD,Chemistry,7,72.0,85.71429,12
Bronx,07X221,South Bronx Preparatory: A College Board School,2017,Non-SWD,Common Core Algebra,97,72.16495,87.62887,13
Bronx,07X221,South Bronx Preparatory: A College Board School,2017,SWD,Common Core Algebra,33,66.69697,66.666664,14
Bronx,07X221,South Bronx Preparatory: A College Board School,2017,Non-SWD,Common Core Algebra 2,20,71.9,90.0,15
Bronx,07X221,South Bronx Preparatory: A College Board School,2017,Non-SWD,Common Core English,71,77.91549,95.77465,16
Bronx,07X221,South Bronx Preparatory: A College Board School,2017,SWD,Common Core English,21,64.190475,57.142857,17
Bronx,07X221,South Bronx Preparatory: A College Board School,2017,Non-SWD,Common Core Geometry,56,63.875,55.357143,18
Bronx,07X221,South Bronx Preparatory: A College Board School,2017,SWD,Common Core Geometry,10,61.9,30.0,19
Bronx,07X221,South Bronx Preparatory: A College Board School,2017,Non-SWD,Earth Science,47,65.23404,55.31915,20
Bronx,07X221,South Bronx Preparatory: A College Board School,2017,SWD,Earth Science,12,54.75,33.333332,21
Bronx,07X221,South Bronx Preparatory: A College Board School,2017,Non-SWD,Global History and Geography,69,78.31884,89.85507,22
Bronx,07X221,South Bronx Preparatory: A College Board School,2017,SWD,Global History and Geography,24,64.416664,50.0,23
Bronx,07X221,South Bronx Preparatory: A College Board School,2017,Non-SWD,Living Environment,87,70.44827,74.71265,24
Bronx,07X221,South Bronx Preparatory: A College Board School,2017,SWD,Living Environment,23,65.521736,73.91304,25
Bronx,07X221,South Bronx Preparatory: A College Board School,2017,Non-SWD,Spanish,28,74.75,78.57143,26
