category,year,regents_exam,median_mean_score,median_percent_65_or_above,id
Bronx,2017,Chemistry,58.936172,30.712551,0
Bronx,2017,Chinese,89.712,99.2,1
Bronx,2017,Common Core Algebra,66.02073,62.7907,2
Bronx,2017,Common Core Algebra 2,60.772728,41.11111,3
Bronx,2017,Common Core English,68.03325,70.99671,4
Bronx,2017,Common Core Geometry,57.625595,28.583332,5
Bronx,2017,Earth Science,58.075,36.0,6
Bronx,2017,French,64.90909,62.5,7
Bronx,2017,Global History and Geography,59.265343,41.310272,8
Bronx,2017,Italian,75.1,83.24324,9
Bronx,2017,Living Environment,64.19029,54.44664,10
Bronx,2017,Physics,60.16,39.285713,11
Bronx,2017,Spanish,82.51724,90.0,12
Bronx,2017,US History and Government,67.74898,63.171043,13
Brooklyn,2017,Chemistry,59.846153,34.88372,14
Brooklyn,2017,Chinese,86.91914,97.43308,15
Brooklyn,2017,Common Core Algebra,68.94444,71.35678,16
Brooklyn,2017,Common Core Algebra 2,60.49206,41.666668,17
Brooklyn,2017,Common Core English,68.004234,72.38337,18
Brooklyn,2017,Common Core Geometry,56.136364,25.0,19
Brooklyn,2017,Earth Science,61.14607,41.935482,20
Brooklyn,2017,French,75.171875,86.48772,21
Brooklyn,2017,Global History and Geography,61.456284,46.060345,22
Brooklyn,2017,Italian,80.28571,93.75,23
Brooklyn,2017,Living Environment,66.61778,62.75128,24
Brooklyn,2017,Physics,65.545456,50.0,25
Brooklyn,2017,Spanish,79.582855,90.0,26
Brooklyn,2017,US History and Government,67.8994,63.634586,27
Manhattan,2017,Chemistry,63.498856,46.294643,28
Manhattan,2017,Chinese,85.20225,95.652176,29
Manhattan,2017,Common Core Algebra,70.7033,77.77778,30
Manhattan,2017,Common Core Algebra 2,64.6875,56.25,31
Manhattan,2017,Common Core English,74.5,83.561646,32
Manhattan,2017,Common Core Geometry,61.3,40.89069,33
Manhattan,2017,Earth Science,63.441177,48.837208,34
Manhattan,2017,French,76.0921,87.09677,35
Manhattan,2017,Global History and Geography,64.7579,56.666668,36
Manhattan,2017,Italian,79.32972,94.22345,37
Manhattan,2017,Living Environment,70.3352,73.93939,38
Manhattan,2017,Physics,68.16327,61.29032,39
Manhattan,2017,Spanish,85.87189,96.239746,40
Manhattan,2017,US History and Government,73.04987,78.83632,41
Queens,2017,Chemistry,64.9503,52.114353,42
Queens,2017,Chinese,86.91052,95.872345,43
Queens,2017,Common Core Algebra,74.30609,84.72023,44
Queens,2017,Common Core Algebra 2,66.14862,64.24668,45
Queens,2017,Common Core English,74.168915,81.25644,46
Queens,2017,Common Core Geometry,62.13669,47.181488,47
Queens,2017,Earth Science,66.07366,57.30854,48
Queens,2017,French,72.617615,79.28571,49
Queens,2017,Global History and Geography,67.045456,63.374485,50
Queens,2017,Italian,79.08833,95.161285,51
Queens,2017,Living Environment,73.45424,80.62821,52
Queens,2017,Physics,69.87541,68.13811,53
Queens,2017,Spanish,82.84028,93.75,54
Queens,2017,US History and Government,75.58442,82.75862,55
