year,category,regents_exam,median_mean_score,median_percent_65_or_above,id
2017,ELL,Chemistry,61.304985,38.87043,0
2017,ELL,Chinese,91.57143,100.0,1
2017,ELL,Common Core Algebra,60.4,41.666668,2
2017,ELL,Common Core Algebra 2,68.666664,67.741936,3
2017,ELL,Common Core English,53.883522,41.885963,4
2017,ELL,Common Core Geometry,53.18182,16.666666,5
2017,ELL,Earth Science,50.809525,16.666666,6
2017,ELL,French,75.333336,87.5,7
2017,ELL,Global History and Geography,53.73077,25.0,8
2017,ELL,Living Environment,55.488808,25.0,9
2017,ELL,Physics,71.57143,81.818184,10
2017,ELL,Spanish,85.41304,100.0,11
2017,ELL,US History and Government,57.071426,36.038963,12
2017,English Proficient,Chemistry,63.80478,48.24418,13
2017,English Proficient,Chinese,82.82758,95.68965,14
2017,English Proficient,Common Core Algebra,69.011826,72.19359,15
2017,English Proficient,Common Core Algebra 2,64.20588,56.643356,16
2017,English Proficient,Common Core English,72.653656,80.60365,17
2017,English Proficient,Common Core Geometry,58.9375,33.80282,18
2017,English Proficient,Earth Science,61.988636,44.519516,19
2017,English Proficient,French,72.51724,85.71429,20
2017,English Proficient,Global History and Geography,62.833332,51.515152,21
2017,English Proficient,Italian,80.13231,96.4375,22
2017,English Proficient,Living Environment,68.369995,67.92453,23
2017,English Proficient,Physics,68.734695,64.70588,24
2017,English Proficient,Spanish,79.96296,90.196075,25
2017,English Proficient,US History and Government,71.06061,71.111115,26
2017,Former ELL,Chemistry,66.27481,55.328796,27
2017,Former ELL,Chinese,88.009346,97.47899,28
2017,Former ELL,Common Core Algebra,71.1629,80.304184,29
2017,Former ELL,Common Core Algebra 2,66.56439,66.025635,30
2017,Former ELL,Common Core English,74.934425,87.5,31
2017,Former ELL,Common Core Geometry,60.542374,41.717793,32
2017,Former ELL,Earth Science,65.067795,54.285713,33
2017,Former ELL,French,76.83333,94.60145,34
2017,Former ELL,Global History and Geography,66.088455,59.00974,35
2017,Former ELL,Italian,81.71429,100.0,36
2017,Former ELL,Living Environment,69.90242,72.9021,37
2017,Former ELL,Physics,70.317856,71.42857,38
2017,Former ELL,Spanish,86.68155,100.0,39
2017,Former ELL,US History and Government,73.077774,77.77778,40
2018,ELL,Chemistry,60.458557,33.922558,41
2018,ELL,Chinese,93.22222,100.0,42
2018,ELL,Common Core Algebra,57.62439,33.695652,43
2018,ELL,Common Core Algebra 2,59.17143,39.565216,44
2018,ELL,Common Core English,51.263157,36.50794,45
2018,ELL,Common Core Geometry,51.667763,21.825397,46
2018,ELL,Earth Science,51.833332,25.0,47
2018,ELL,French,82.37334,96.66667,48
2018,ELL,Global History and Geography,55.16546,28.0,49
2018,ELL,Living Environment,55.35294,24.793388,50
2018,ELL,Physics,70.72222,70.83333,51
2018,ELL,Spanish,83.94118,93.75,52
2018,ELL,US History and Government,57.75524,37.5,53
2018,English Proficient,Chemistry,62.35121,40.833336,54
2018,English Proficient,Chinese,85.7972,99.09091,55
2018,English Proficient,Common Core Algebra,66.168236,64.67001,56
2018,English Proficient,Common Core Algebra 2,64.5387,60.6203,57
2018,English Proficient,Common Core English,70.21186,75.64103,58
2018,English Proficient,Common Core Geometry,59.076923,40.157482,59
2018,English Proficient,Earth Science,65.84722,58.333332,60
2018,English Proficient,French,81.89855,96.55173,61
2018,English Proficient,Global History and Geography,66.1479,58.55401,62
2018,English Proficient,Italian,72.71429,71.55556,63
2018,English Proficient,Living Environment,68.64443,67.64171,64
2018,English Proficient,Physics,68.666664,65.47619,65
2018,English Proficient,Spanish,80.88333,90.767044,66
2018,English Proficient,US History and Government,70.111115,69.565216,67
2018,Former ELL,Chemistry,65.3766,52.786377,68
2018,Former ELL,Chinese,93.86466,100.0,69
2018,Former ELL,Common Core Algebra,69.01097,72.72727,70
2018,Former ELL,Common Core Algebra 2,68.0,70.0,71
2018,Former ELL,Common Core English,73.14286,83.333336,72
2018,Former ELL,Common Core Geometry,61.978786,49.69136,73
2018,Former ELL,Earth Science,67.346664,58.89894,74
2018,Former ELL,French,84.2619,100.0,75
2018,Former ELL,Global History and Geography,69.32576,68.49624,76
2018,Former ELL,Italian,74.86667,88.23529,77
2018,Former ELL,Living Environment,70.950356,75.0,78
2018,Former ELL,Physics,68.649994,66.666664,79
2018,Former ELL,Spanish,87.86667,100.0,80
2018,Former ELL,US History and Government,73.083336,77.77778,81
2019,ELL,Chemistry,54.916664,20.0,82
2019,ELL,Chinese,89.69914,100.0,83
2019,ELL,Common Core Algebra,59.160416,37.5,84
2019,ELL,Common Core Algebra 2,61.94737,50.0,85
2019,ELL,Common Core English,57.18919,46.153847,86
2019,ELL,Common Core Geometry,51.89011,16.666666,87
2019,ELL,Earth Science,49.308495,16.666666,88
2019,ELL,French,79.375,90.0,89
2019,ELL,Global History and Geography,58.363636,36.363636,90
2019,ELL,Living Environment,54.436222,26.120857,91
2019,ELL,Physics,71.6875,66.666664,92
2019,ELL,Spanish,82.7,94.44444,93
2019,ELL,US History and Government,54.98932,30.0,94
2019,English Proficient,Chemistry,61.30392,44.189346,95
2019,English Proficient,Chinese,83.76471,98.4127,96
2019,English Proficient,Common Core Algebra,67.8184,66.666664,97
2019,English Proficient,Common Core Algebra 2,64.53125,59.838707,98
2019,English Proficient,Common Core English,73.63415,82.69231,99
2019,English Proficient,Common Core Geometry,61.252174,45.0,100
2019,English Proficient,Earth Science,62.19149,47.36842,101
2019,English Proficient,French,82.5625,98.3871,102
2019,English Proficient,Global History and Geography,67.64851,65.97872,103
2019,English Proficient,Italian,80.190475,90.47619,104
2019,English Proficient,Living Environment,68.948715,68.05556,105
