year,category,regents_exam,median_mean_score,median_percent_65_or_above,id
2017,Non-SWD,Chemistry,62.944443,44.444443,0
2017,Non-SWD,Chinese,88.42021,98.91855,1
2017,Non-SWD,Common Core Algebra,70.31743,76.92308,2
2017,Non-SWD,Common Core Algebra 2,63.96875,54.03151,3
2017,Non-SWD,Common Core English,73.38824,83.19598,4
2017,Non-SWD,Common Core Geometry,60.77647,41.573032,5
2017,Non-SWD,Earth Science,63.090908,49.019608,6
2017,Non-SWD,French,76.07143,85.71429,7
2017,Non-SWD,Global History and Geography,64.88185,57.232918,8
2017,Non-SWD,Italian,82.04762,97.36842,9
2017,Non-SWD,Living Environment,69.02857,70.32967,10
2017,Non-SWD,Physics,65.43443,50.431034,11
2017,Non-SWD,Spanish,82.97561,94.28571,12
2017,Non-SWD,US History and Government,72.7977,77.36043,13
2017,SWD,Chemistry,56.555557,18.367348,14
2017,SWD,Chinese,55.4,32.0,15
2017,SWD,Common Core Algebra,58.679077,33.333332,16
2017,SWD,Common Core Algebra 2,58.590908,40.0,17
2017,SWD,Common Core English,59.85621,52.27743,18
2017,SWD,Common Core Geometry,51.36842,12.121212,19
2017,SWD,Earth Science,51.592594,18.75,20
2017,SWD,Global History and Geography,53.383987,24.062353,21
2017,SWD,Living Environment,57.814285,33.333332,22
2017,SWD,Physics,67.71429,57.142857,23
2017,SWD,Spanish,77.09375,82.57576,24
2017,SWD,US History and Government,59.59722,40.729164,25
2018,Non-SWD,Chemistry,63.333332,47.474747,26
2018,Non-SWD,Chinese,92.78072,100.0,27
2018,Non-SWD,Common Core Algebra,68.07575,71.25148,28
2018,Non-SWD,Common Core Algebra 2,64.692505,57.528515,29
2018,Non-SWD,Common Core English,71.36318,78.89676,30
2018,Non-SWD,Common Core Geometry,61.1,46.42857,31
2018,Non-SWD,Earth Science,66.8125,60.687023,32
2018,Non-SWD,French,82.638885,97.98076,33
2018,Non-SWD,Global History and Geography,67.94641,64.24912,34
2018,Non-SWD,Italian,80.8,93.13725,35
2018,Non-SWD,Living Environment,69.468704,71.24144,36
2018,Non-SWD,Physics,66.6,60.714287,37
2018,Non-SWD,Spanish,82.4375,90.69768,38
2018,Non-SWD,US History and Government,72.14683,76.190475,39
2018,SWD,Chemistry,55.81818,20.0,40
2018,SWD,Chinese,69.02564,61.53846,41
2018,SWD,Common Core Algebra,56.185364,28.097588,42
2018,SWD,Common Core Algebra 2,54.727272,29.62963,43
2018,SWD,Common Core English,58.042854,45.945946,44
2018,SWD,Common Core Geometry,49.266666,14.285714,45
2018,SWD,Earth Science,54.375,26.086956,46
2018,SWD,French,58.92857,42.857143,47
2018,SWD,Global History and Geography,55.80645,30.0,48
2018,SWD,Italian,65.309525,56.349205,49
2018,SWD,Living Environment,57.095238,31.147541,50
2018,SWD,Physics,66.28571,61.53846,51
2018,SWD,Spanish,75.97223,79.58333,52
2018,SWD,US History and Government,59.267944,40.0,53
2019,Non-SWD,Chemistry,62.047173,44.09722,54
2019,Non-SWD,Chinese,88.1393,99.47917,55
2019,Non-SWD,Common Core Algebra,69.464745,72.554855,56
2019,Non-SWD,Common Core Algebra 2,65.25,63.157894,57
2019,Non-SWD,Common Core English,74.254234,85.12397,58
2019,Non-SWD,Common Core Geometry,62.255318,49.261086,59
2019,Non-SWD,Earth Science,64.09926,53.51584,60
2019,Non-SWD,French,82.7,96.666664,61
2019,Non-SWD,Global History and Geography,69.4,70.491806,62
2019,Non-SWD,Italian,80.50192,92.40385,63
2019,Non-SWD,Living Environment,70.117645,72.34042,64
2019,Non-SWD,Physics,65.885574,51.949024,65
2019,Non-SWD,Spanish,83.16,92.65734,66
2019,Non-SWD,US History and Government,70.29269,70.731705,67
2019,SWD,Chemistry,53.923077,20.0,68
2019,SWD,Chinese,76.75,75.71429,69
2019,SWD,Common Core Algebra,57.830128,33.333332,70
2019,SWD,Common Core Algebra 2,55.611115,28.571428,71
2019,SWD,Common Core English,62.655914,55.555557,72
2019,SWD,Common Core Geometry,50.519447,14.642857,73
2019,SWD,Earth Science,50.92561,20.0,74
