schools,id
01M034: P.S. 034 Franklin D. Roosevelt,0
01M140: P.S. 140 Nathan Straus,1
01M184: P.S. 184 Shuang Wen,2
01M188: P.S. 188 The Island School,3
01M292: Orchard Collegiate Academy,4
01M332: University Neighborhood Middle School,5
01M378: School for Global Leaders,6
01M448: University Neighborhood High School,7
01M450: East Side Community School,8
01M458: Forsyth Satellite Academy,9
01M509: Marta Valle High School,10
01M515: Lower East Side Preparatory High School,11
"01M539: New Explorations into Science, Technology and Math",12
01M650: Cascades High School,13
01M696: Bard High School Early College,14
01M839: Tompkins Square Middle School,15
02M047: 47 The American Sign Language and English Secondary School,16
02M104: J.H.S. 104 Simon Baruch,17
02M114: East Side Middle School,18
02M126: P.S. 126 Jacob August Riis,19
02M131: M.S. 131,20
02M135: The Urban Assembly School for Emergency Management,21
02M139: Stephen T. Mather Building Arts and Craftsmanship High School,22
02M167: J.H.S. 167 Robert F. Wagner,23
02M177: Yorkville East Middle School,24
02M217: P.S. | I.S. 217 Roosevelt Island,25
02M255: M.S. 255 Salk School of Science,26
02M260: The Clinton School,27
02M276: Battery Park City School,28
02M280: Manhattan Early College School for Advertising,29
02M282: Urban Assembly Maker Academy,30
02M288: Food and Finance High School,31
02M289: I.S. 289,32
02M294: Essex Street Academy,33
02M296: High School of Hospitality Management,34
02M297: M.S. 297,35
02M298: Pace High School,36
02M300: Urban Assembly School of Design and Construction,37
02M303: The Facing History School,38
02M305: The Urban Assembly Academy of Government and Law,39
02M308: Lower Manhattan Arts Academy,40
02M312: New York City Lab Middle School for Collaborative Studies,41
02M313: The James Baldwin School,42
02M316: Urban Assembly School of Business for Young Women,43
02M347: 47 The American Sign Language and English Lower School,44
02M374: Gramercy Arts High School,45
02M376: NYC iSchool,46
02M392: Manhattan Business Academy,47
02M393: Business Of Sports School,48
02M394: Emma Lazarus High School,49
02M397: Spruce Street School,50
02M399: The High School For Language And Diplomacy,51
02M400: High School for Environmental Studies,52
02M407: Institute for Collaborative Education,53
02M408: Professional Performing Arts High School,54
02M411: Baruch College Campus High School,55
02M412: N.Y.C. Lab School for Collaborative Studies,56
02M413: School of the Future High School,57
02M414: N.Y.C. Museum School,58
02M416: Eleanor Roosevelt High School,59
02M418: Millennium High School,60
02M419: Landmark High School,61
02M420: High School for Health Professions and Human Services,62
02M422: Quest to Learn,63
02M425: Leadership and Public Service High School,64
02M427: Manhattan Academy For Arts and Language,65
02M432: Murray Hill Academy,66
02M437: Hudson High School of Learning Technologies,67
02M438: International High School at Union Square,68
02M439: Manhattan Village Academy,69
"02M442: Ballet Tech, NYC Public School for Dance",70
02M449: Vanguard High School,71
02M459: Manhattan International High School,72
02M473: Washington Irving YABC,73
02M475: Stuyvesant High School,74
02M489: High School of Economics and Finance,75
02M500: Unity Center for Urban Technologies,76
02M507: Urban Assembly Gateway School for Technology,77
02M519: Talent Unlimited High School,78
02M520: Murry Bergtraum High School for Business Careers,79
02M529: Jacqueline Kennedy Onassis High School,80
02M531: Repertory Company High School for Theatre Arts,81
02M533: Union Square Academy for Health Sciences,82
02M534: Harvest Collegiate High School,83
02M542: Manhattan Bridges High School,84
02M543: New Design High School,85
02M544: Independence High School,86
02M545: High School for Dual Language and Asian Studies,87
02M546: Academy for Software Engineering,88
02M550: Liberty High School Academy for Newcomers,89
02M551: Urban Assembly New York Harbor School,90
02M560: High School M560 - City As School,91
02M565: Urban Academy Laboratory High School,92
02M570: Satellite Academy High School,93
02M575: Manhattan Comprehensive Night and Day High School,94
02M580: Richard R. Green High School of Teaching,95
02M586: Harvey Milk High School,96
02M600: The High School of Fashion Industries,97
02M605: Humanities Preparatory Academy,98
02M615: Chelsea Career and Technical Education High School,99
02M630: Art and Design High School,100
02M655: The High School for Climate Justice,101
02M896: Lower Manhattan Community Middle School,102
02M933: City Knoll Middle School,103
03M054: J.H.S. 054 Booker T. Washington,104
03M076: P.S. 076 A. Philip Randolph,105
03M180: P.S. 180 Hugo Newman,106
03M191: The Riverside School for Makers and Artists,107
03M243: M.S. 243 Center School,108
03M245: M.S. M245 The Computer School,109
03M247: M.S. M247 Dual Language Middle School,110
03M250: M.S. 250 West Side Collaborative Middle School,111
03M256: Lafayette Academy,112
03M258: M.S. 258 Community Action School,113
03M291: West End Secondary School,114
03M299: The Maxine Greene HS for Imaginative Inquiry,115
03M307: The Urban Assembly School for Media Studies,116
03M333: P.S. 333 Manhattan School for Children,117
03M334: The Anderson School,118
03M402: The Urban Assembly School for Green Careers,119
03M403: The Global Learning Collaborative,120
03M404: Innovation Diploma Plus,121
03M415: Wadleigh Secondary School for the Performing and Visual Arts,122
03M417: Frank McCourt High School,123
03M421: West Prep Academy,124
03M479: Beacon High School,125
03M485: Fiorello H. LaGuardia High School of Music and Art and Performing Arts,126
"03M492: High School for Law, Advocacy and Community Justice",127
03M494: High School of Arts and Technology,128
03M505: Edward A. Reynolds West Side High School,129
03M541: Manhattan Hunter Science High School,130
03M859: Special Music School,131
03M860: Frederick Douglass Academy II Secondary School,132
03M862: Mott Hall II,133
04M007: P.S. 007 Samuel Stern,134
04M012: Tag Young Scholars,135
04M050: P.S. 050 Vito Marcantonio,136
04M057: James Weldon Johnson,137
04M072: The Lexington Academy,138
04M096: P.S. 096 Joseph Lanzetta,139
04M108: P.S. 108 Assemblyman Angelo Del Toro Educational Complex,140
04M171: P.S. 171 Patrick Henry,141
04M206: P.S. 206 Jose Celso Barbosa,142
04M224: M.S. 224 Manhattan East School for Arts and Academics,143
04M310: The Judith S. Kaye School,144
04M372: Esperanza Preparatory Academy,145
04M377: Renaissance School of the Arts,146
04M406: Global Technology Preparatory,147
04M409: Coalition School for Social Change,148
04M435: Manhattan Center for Science and Mathematics,149
04M495: Park East High School,150
04M555: Central Park East High School,151
04M610: Young Women's Leadership School,152
04M680: The Heritage School,153
04M825: Isaac Newton Middle School for Math and Science,154
05M129: P.S. 129 John H. Finley,155
05M148: Eagle Academy for Young Men of Harlem,156
05M157: The Urban Assembly School for Global Commerce,157
05M161: P.S. 161 Pedro Albizu Campos,158
05M285: Harlem Renaissance High School,159
05M286: Urban Assembly Academy for Future Leaders,160
05M304: Mott Hall High School,161
05M362: Columbia Secondary School,162
05M367: Academy for Social Action,163
05M369: Urban Assembly School for the Performing Arts,164
05M371: School of Earth Exploration and Discovery Harlem (SEED),165
05M499: Frederick Douglass Academy,166
05M514: New Design Middle School,167
05M517: Teachers College Community School,168
05M670: Thurgood Marshall Academy for Learning and Social Change,169
"05M692: The High School for Mathematics, Science and Engineering at City College of New York",170
06M018: P.S. 018 Park Terrace,171
06M052: Harold O. Levy School,172
06M143: J.H.S. 143 Eleanor Roosevelt,173
06M187: P.S. | I.S. 187 Hudson Cliffs,174
06M209: Hamilton Grange Middle School,175
