year,regents_exam,mean_score,total_tested,id
2017,Chemistry,62.21860053254438,30261,0
2017,Chinese,83.81650254545454,2413,1
2017,Common Core Algebra,71.11979081786542,120245,2
2017,Common Core Algebra 2,63.13749571891891,32269,3
2017,Common Core English,70.51537151215278,92756,4
2017,Common Core Geometry,59.98815899088838,58263,5
2017,Earth Science,63.105400508120645,42536,6
2017,French,73.50837505,2042,7
2017,Global History and Geography,64.63543339961389,91876,8
2017,Italian,78.31575734615384,1170,9
2017,Living Environment,69.4477166391892,95546,10
2017,Physics,64.48975214285714,14834,11
2017,Spanish,81.65059675203253,19104,12
2017,US History and Government,71.17168404092526,80574,13
2018,Chemistry,61.70209797640118,31013,14
2018,Chinese,86.74025754545455,2337,15
2018,Common Core Algebra,68.87738795259594,119693,16
2018,Common Core Algebra 2,64.51607143376623,38474,17
2018,Common Core English,68.1029604835924,95243,18
2018,Common Core Geometry,60.13620679310345,55338,19
2018,Earth Science,65.4124361264637,42151,20
2018,French,79.88131734693877,1800,21
2018,Global History and Geography,67.04869892248061,94587,22
2018,Italian,75.51018157692307,1297,23
2018,Living Environment,69.91003313815789,98306,24
2018,Physics,65.2041246875,14019,25
2018,Spanish,82.02652461937717,19829,26
2018,US History and Government,70.78532864991335,80873,27
2019,Chemistry,60.822478589820356,31707,28
2019,Chinese,84.67052283333334,2333,29
2019,Common Core Algebra,70.20506354078212,121577,30
2019,Common Core Algebra 2,64.56126964961636,39354,31
2019,Common Core English,71.92669207304348,99800,32
2019,Common Core Geometry,61.55985023113208,53978,33
2019,Earth Science,62.30701625423729,39778,34
2019,French,80.01384191666666,2053,35
2019,Global History and Geography,67.53440178320312,88705,36
2019,Italian,80.87167622727273,1016,37
2019,Living Environment,69.59003838925294,99291,38
2019,Physics,65.60841768098159,14466,39
2019,Spanish,82.17041598016998,25973,40
2019,US History and Government,69.19976200664452,82759,41
2022,Chemistry,53.46235029968454,31392,42
2022,Chinese,79.89639345945946,2488,43
2022,Common Core Algebra,66.32370056833713,81600,44
2022,Common Core Algebra 2,54.710209209115284,40176,45
2022,Common Core English,67.96080011842106,58337,46
2022,Common Core Geometry,50.35672817574257,46590,47
2022,Earth Science,56.2321298,31726,48
2022,French,73.00707625,1550,49
2022,Global History and Geography,68.22165801232033,65544,50
2022,Italian,73.09578538461538,927,51
2022,Living Environment,68.098103687915,70794,52
2022,Physics,51.084126999999995,14036,53
2022,Spanish,79.2449513862816,19944,54
2023,Chemistry,56.64814634567901,32097,55
2023,Chinese,82.72876708823529,2277,56
2023,Common Core Algebra,67.69935373428886,105538,57
2023,Common Core Algebra 2,55.849428797468356,41691,58
2023,Common Core English,69.67379963013698,92629,59
2023,Common Core Geometry,55.820183338028166,52698,60
2023,Earth Science,61.347411419947505,35537,61
2023,French,79.65723171111111,1580,62
2023,Global History and Geography,67.35255387254901,73089,63
2023,Italian,77.07865766666667,904,64
2023,Living Environment,66.34071742431762,84659,65
2023,Physics,54.76603110526316,13471,66
2023,Spanish,82.48518567449663,20617,67
2023,US History and Government,67.1778041373913,62402,68
